state,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
Connecticut,23100,,1639, ,21396,6450,458,71497,"19,963",04-24-2020
Texas,22806,413,593,17,14188,818,21,242547,"8,698",04-24-2020
Georgia,22147,264,892,11,21224,2151,87,107176,"10,408",04-24-2020
Maryland,16616,879,798,50,14710,2768,133,84716,"14,111",04-24-2020
Ohio,14694,,656, ,13918,1262,56,102325,"8,789",04-24-2020
Indiana,13680,641,741,35,12925,2061,112,75553,"11,383",04-24-2020
Washington,12753,,711, ,10260,1748,97,153376,"21,027",04-24-2020
Virginia,11594,596,410,38,9512,1378,49,69015,"8,203",04-24-2020
Colorado,11262,,552, ,10151,2036,100,52324,"9,460",04-24-2020
Tennessee,8266,,170, ,3903,1243,26,123100,"18,508",04-24-2020
North Carolina,8136,282,284,3,6550,801,28,100584,"9,904",04-24-2020
Rhode Island,6699,443,202,13,6155,6340,191,47257,"44,725",04-24-2020
Missouri,6424,40,252,9,5625,1055,41,64903,"10,657",04-24-2020
Veteran Affairs,6363,125,400,9,5963,,,78124,,04-24-2020
US Military,6213,312,26,1,4240,,,,,04-24-2020
Alabama,5832,,201, ,5611,1199,41,52641,"10,821",04-24-2020
Arizona,5769,,249, ,5450,830,36,58697,"8,450",04-24-2020
Mississippi,5434,281,209,8,5225,1818,70,55389,"18,532",04-24-2020
Wisconsin,5052,,257, ,4601,874,44,56508,"9,779",04-24-2020
South Carolina,4917,,150, ,2029,992,30,44463,"8,972",04-24-2020
Iowa,4445,521,107,11,2734,1419,34,31973,"10,207",04-24-2020
Nevada,4208,,189, ,2178,1440,65,42709,"14,612",04-24-2020
Utah,3612,,35, ,2689,1186,11,80627,"26,475",04-24-2020
District Of Columbia,3528,167,153,14,2724,5154,224,16533,"24,153",04-24-2020
Kentucky,3481,,191, ,2168,784,43,42844,"9,649",04-24-2020
Delaware,3442,134,100,8,2639,3625,105,17379,"18,303",04-24-2020
Minnesota,3185,243,221,21,1370,576,40,53787,"9,731",04-24-2020
Oklahoma,3017,,179, ,954,770,46,47984,"12,247",04-24-2020
Kansas,2734,252,113,1,2118,940,39,20435,"7,025",04-24-2020
Arkansas,2606,7,45, ,1632,871,15,35443,"11,851",04-24-2020
New Mexico,2379,,78, ,1728,1137,37,46563,"22,253",04-24-2020
Oregon,2127,,83, ,2044,521,20,43976,"10,773",04-24-2020
Nebraska,2124,,47, ,2055,1115,25,18701,"9,818",04-24-2020
South Dakota,1956,,9, ,883,2263,10,14065,"16,273",04-24-2020
Idaho,1836,,54, ,960,1088,32,19091,"11,311",04-24-2020
New Hampshire,1670,,51, ,1069,1243,38,16809,"12,510",04-24-2020
Puerto Rico,1416,,69, ,956,418,20,11633,"3,435",04-24-2020
Navajo Nation,1360,39,52,3,1308,,,,,04-24-2020
West Virginia,981,,31, ,725,536,17,29116,"15,919",04-24-2020
Federal Prisons,977,,24, ,598,,,,,04-24-2020
Maine,965,28,47,3,419,724,35,17721,"13,296",04-24-2020
Vermont,827,2,44,1,783,1323,70,14310,"22,897",04-24-2020
North Dakota,748,39,15, ,448,994,20,17449,"23,197",04-24-2020
Hawaii,596,,12, ,129,419,8,26362,"18,538",04-24-2020
Wyoming,453,,7, ,171,779,12,7623,"13,102",04-24-2020
Montana,444,2,14, ,105,426,13,12127,"11,641",04-24-2020
Alaska,337,,9, ,119,456,12,11473,"15,535",04-24-2020
Guam,139,,5, ,15,,,605,,04-24-2020
Grand Princess Ship,103,,3, ,100,,,,,04-24-2020
United States Virgin Islands,54,,3, ,1,,,731,,04-24-2020
Northern Mariana Islands,14,,2, ,1,,,45,,04-24-2020
New York,287245,9800,21728,437,234299,14642,"1,108",777568,"39,635",04-25-2020
New Jersey,105523,3327,5863,246,98389,11881,660,213125,"23,996",04-25-2020
Massachusetts,50969,,2556, ,40295,7462,374,215213,"31,509",04-25-2020
California,41382,570,1618,24,36427,1057,41,494173,"12,623",04-25-2020
Pennsylvania ,40149,,1736, ,37763,3139,136,186143,"14,552",04-25-2020
Illinois,39658,,1795, ,37257,3093,140,189632,"14,790",04-25-2020
Michigan,36641,,3085, ,30284,3680,310,140130,"14,073",04-25-2020
Florida,30839,306,1055,9,29098,1497,51,334974,"16,262",04-25-2020
Louisiana,26140,,1660, ,9553,5605,356,142056,"30,460",04-25-2020
Connecticut,23921,,1764, ,22092,6679,493,74038,"20,672",04-25-2020
Texas,23773,603,623,22,15125,853,22,262816,"9,425",04-25-2020
Georgia,22695,204,904,5,21760,2204,88,119014,"11,558",04-25-2020
Maryland,17766,1150,875,77,15726,2959,146,89123,"14,845",04-25-2020
Ohio,15169,,690, ,14359,1303,59,107109,"9,200",04-25-2020
Indiana,14395,715,785,44,13596,2169,118,79774,"12,019",04-25-2020
Washington,13176,,723, ,10646,1806,99,160324,"21,979",04-25-2020
Virginia,12366,772,436,26,10258,1470,52,72178,"8,579",04-25-2020
Colorado,12256,,674, ,11023,2216,122,56789,"10,267",04-25-2020
Tennessee,8726,,168, ,4188,1312,25,131298,"19,741",04-25-2020
North Carolina,8719,469,304,11,7113,859,30,105265,"10,365",04-25-2020
Rhode Island,7129,430,215,13,6572,6747,203,50891,"48,164",04-25-2020
Missouri,6766,72,272,5,5947,1111,45,67017,"11,004",04-25-2020
Veteran Affairs,6528,,400, ,6128,,,83372,,04-25-2020
US Military,6213,,26, ,4240,,,,,04-25-2020
Arizona,6045,,266, ,5709,870,38,60714,"8,740",04-25-2020
Alabama,6032,6,212,3,5800,1240,44,52641,"10,821",04-25-2020
Mississippi,5718,284,221,12,5497,1913,74,58957,"19,726",04-25-2020
Wisconsin,5356,,262, ,2781,927,45,59929,"10,371",04-25-2020
South Carolina,5070,,157, ,1212,1023,32,46996,"9,483",04-25-2020
Nevada,4539,141,204,7,2494,1553,70,45885,"15,699",04-25-2020
Iowa,4445,,107, ,2734,1419,34,31973,"10,207",04-25-2020
Utah,3782,,39, ,2855,1242,13,84697,"27,812",04-25-2020
Kentucky,3779,,200, ,2457,851,45,44962,"10,126",04-25-2020
District Of Columbia,3699,171,165,12,2882,5404,241,17302,"25,277",04-25-2020
Delaware,3576,134,112,12,2655,3766,118,17698,"18,639",04-25-2020
Minnesota,3446,261,244,23,1548,623,44,56597,"10,239",04-25-2020
Oklahoma,3121,,188, ,972,797,48,53012,"13,530",04-25-2020
Kansas,2966,11,119,1,2344,1020,41,23588,"8,109",04-25-2020
Arkansas,2829,19,47, ,1818,946,16,38053,"12,724",04-25-2020
New Mexico,2521,,84, ,1823,1205,40,51510,"24,617",04-25-2020
Nebraska,2421,,50, ,2349,1271,26,20112,"10,559",04-25-2020
Oregon,2177,,86, ,2091,533,21,45492,"11,145",04-25-2020
South Dakota,2040,,10, ,840,2360,12,14824,"17,152",04-25-2020
Idaho,1870,,54, ,949,1108,32,19361,"11,471",04-25-2020
New Hampshire,1720,,53, ,1117,1280,39,17727,"13,193",04-25-2020
Navajo Nation,1360,,52, ,1308,,,,,04-25-2020
Puerto Rico,1307,31,83,6,833,386,25,11633,"3,435",04-25-2020
West Virginia,1010,,32, ,753,552,17,32419,"17,724",04-25-2020
Maine,990,25,50,3,421,743,38,17721,"13,296",04-25-2020
Federal Prisons,977,,24, ,598,,,,,04-25-2020
Vermont,843,16,46,2,797,1349,74,14682,"23,492",04-25-2020
North Dakota,803,55,16,1,477,1068,21,19350,"25,725",04-25-2020
Hawaii,601,,13, ,125,423,9,28272,"19,881",04-25-2020
Wyoming,473,,7, ,145,813,12,7623,"13,102",04-25-2020
Montana,445,1,14, ,92,427,13,12497,"11,996",04-25-2020
Alaska,339,,9, ,121,459,12,11942,"16,170",04-25-2020
Guam,141,,5, ,10,,,605,,04-25-2020
Grand Princess Ship,103,,3, ,100,,,,,04-25-2020
United States Virgin Islands,54,,3, ,1,,,731,,04-25-2020
Northern Mariana Islands,14,,2, ,1,,,45,,04-25-2020
New York,293354,5041,22275,367,239861,14953,"1,135",805350,"41,051",04-26-2020
New Jersey,109038,3515,5938,75,101829,12277,669,223062,"25,114",04-26-2020
Massachusetts,53348,,2730, ,42500,7811,400,226845,"33,212",04-26-2020
California,42688,337,1695,9,37656,1090,43,494173,"12,623",04-26-2020
Illinois,41777,,1874, ,39297,3258,146,201617,"15,725",04-26-2020
Pennsylvania,41697,,1804, ,39243,3260,141,192235,"15,029",04-26-2020
Michigan,37203,,3274, ,25587,3736,329,144044,"14,466",04-26-2020
Florida,31528,689,1074,19,29768,1531,52,346365,"16,815",04-26-2020
Louisiana,26773,261,1729,26,10117,5741,371,142056,"30,460",04-26-2020
Texas,24631,436,648,7,13997,883,23,276021,"9,898",04-26-2020
Connecticut,24582,,1862, ,22655,6864,520,77602,"21,667",04-26-2020
Georgia,23401,185,912,5,22458,2272,89,122604,"11,906",04-26-2020
Maryland,18581,815,910,35,16494,3095,152,96665,"16,102",04-26-2020
Ohio,15587,,711, ,14756,1339,61,111379,"9,567",04-26-2020
Indiana,15012,617,813,28,14185,2262,122,81708,"12,310",04-26-2020
Washington,13319,,738, ,10774,1826,101,170594,"23,387",04-26-2020
Virginia,12970,604,448,12,10707,1542,53,76118,"9,047",04-26-2020
Colorado,12968,,672, ,11737,2345,121,59791,"10,810",04-26-2020
Tennessee,9189,,178, ,4544,1382,27,141406,"21,261",04-26-2020
North Carolina,8946,193,314,9,7330,881,31,107894,"10,624",04-26-2020
Rhode Island,7439,310,226,11,6871,7040,214,53403,"50,542",04-26-2020
Missouri,6881,,283, ,6051,1130,46,67017,"11,004",04-26-2020
Veteran Affairs,6860,168,424,11,6436,,,83372,,04-26-2020
Arizona,6526,246,275,2,6181,939,40,64811,"9,330",04-26-2020
Alabama,6253,40,213, ,6020,1285,44,71344,"14,666",04-26-2020
US Military,6213,,26, ,4240,,,,,04-26-2020
Mississippi,5911,193,227,6,5684,1978,76,60788,"20,339",04-26-2020
Wisconsin,5687,,266, ,3108,984,46,62825,"10,872",04-26-2020
Iowa,5476,384,118,6,3754,1748,38,31973,"10,207",04-26-2020
South Carolina,5253,,166, ,1386,1060,33,49014,"9,890",04-26-2020
Nevada,4539,,206,2,2492,1553,70,45885,"15,699",04-26-2020
Delaware,4034,458,120,8,3003,4249,126,19249,"20,273",04-26-2020
Utah,3948,,41, ,3019,1296,13,90206,"29,621",04-26-2020
Kentucky,3905,,205, ,2578,879,46,46558,"10,486",04-26-2020
District Of Columbia,3841,142,178,13,3006,5611,260,18068,"26,396",04-26-2020
Minnesota,3602,156,272,28,1556,652,49,58987,"10,672",04-26-2020
Oklahoma,3253,60,195,1,919,830,50,53012,"13,530",04-26-2020
Kansas,3135,,120, ,2512,1078,41,25199,"8,663",04-26-2020
Arkansas,2938,29,48, ,1905,982,16,39327,"13,150",04-26-2020
Nebraska,2732,,53, ,2657,1434,28,21377,"11,223",04-26-2020
New Mexico,2660,,93, ,1953,1271,44,51510,"24,617",04-26-2020
Oregon,2253,,87, ,2166,552,21,47377,"11,606",04-26-2020
South Dakota,2212,65,11,1,1011,2559,13,15596,"18,045",04-26-2020
Idaho,1887,,56, ,964,1118,33,19361,"11,471",04-26-2020
New Hampshire,1787,,60, ,1177,1330,45,17727,"13,193",04-26-2020
Navajo Nation,1540,,58, ,1482,,,,,04-26-2020
Puerto Rico,1371,64,84,1,896,405,25,11633,"3,435",04-26-2020
Federal Prisons,1047,,26, ,514,,,,,04-26-2020
West Virginia,1044,19,34,1,785,571,19,39063,"21,357",04-26-2020
Maine,1015,25,50, ,433,762,38,17721,"13,296",04-26-2020
North Dakota,867,64,17,1,524,1153,23,20447,"27,183",04-26-2020
Vermont,851,8,46, ,805,1362,74,14797,"23,676",04-26-2020
Hawaii,604,,14, ,108,425,10,28272,"19,881",04-26-2020
Wyoming,491,18,7, ,163,844,12,7623,"13,102",04-26-2020
Montana,448,3,14, ,95,430,13,12862,"12,347",04-26-2020
Alaska,339,,9, ,113,459,12,15732,"21,302",04-26-2020
Guam,141,,5, ,10,,,605,,04-26-2020
Grand Princess Ship,103,,3, ,100,,,,,04-26-2020
United States Virgin Islands,57,2,4,1,2,,,776,,04-26-2020
Northern Mariana Islands,14,,2, ,1,,,45,,04-26-2020
New York,293991,,22275, ,240498,14985,"1,135",805350,"41,051",04-27-2020
New Jersey,109038,,5938, ,101829,12277,669,223062,"25,114",04-27-2020
Massachusetts,54938,,2899, ,43921,8043,424,236100,"34,567",04-27-2020
Illinois,43903,,1933, ,41364,3424,151,214952,"16,765",04-27-2020
California,43703,162,1720,2,38646,1116,44,526084,"13,438",04-27-2020
Pennsylvania,42708,,1823, ,40193,3339,143,198593,"15,526",04-27-2020
Michigan,37778,,3315, ,26121,3794,333,156010,"15,668",04-27-2020
Florida,32138,610,1088,14,30364,1560,53,358127,"17,386",04-27-2020
Louisiana,26773,,1729, ,10117,5741,371,142056,"30,460",04-27-2020
Connecticut,25269,,1924, ,23280,7055,537,79811,"22,284",04-27-2020
Texas,24981,,654, ,14341,896,23,276021,"9,898",04-27-2020
Georgia,23481,,916, ,22534,2280,89,122604,"11,906",04-27-2020
Maryland,19487,906,945,35,17279,3246,157,104976,"17,486",04-27-2020
Ohio,15963,,728, ,15115,1371,63,115783,"9,945",04-27-2020
Indiana,15012,,813, ,14185,2262,122,81708,"12,310",04-27-2020
Virginia,13535,565,458,10,11262,1609,54,80180,"9,530",04-27-2020
Washington,13521,,749, ,10965,1854,103,175477,"24,057",04-27-2020
Colorado,13441,,680, ,12202,2430,123,63274,"11,440",04-27-2020
Tennessee,9667,,181, ,4959,1453,27,147474,"22,173",04-27-2020
North Carolina,9142,148,325, ,7515,900,32,109920,"10,824",04-27-2020
Rhode Island,7439,,226, ,6871,7040,214,53403,"50,542",04-27-2020
Missouri,7029,,283, ,6199,1154,46,67017,"11,004",04-27-2020
Veteran Affairs ,6922,62,435,11,6487,,,83372,,04-27-2020
Arizona,6526,,275, ,6181,939,40,64811,"9,330",04-27-2020
Alabama,6429,11,219, ,6190,1322,45,73732,"15,157",04-27-2020
US Military,6213,,26, ,4240,,,,,04-27-2020
Mississippi,6094,183,229,2,5865,2039,77,60788,"20,339",04-27-2020
Wisconsin,5911,,272, ,3326,1023,47,65146,"11,274",04-27-2020
South Carolina,5490,,174, ,1615,1108,35,50761,"10,242",04-27-2020
Iowa,5476,,118, ,3754,1748,38,36090,"11,521",04-27-2020
Nevada,4602,,206, ,2555,1574,70,45885,"15,699",04-27-2020
Utah,4123,,41, ,3194,1354,13,95702,"31,426",04-27-2020
Kentucky,4074,,208, ,2744,918,47,48474,"10,917",04-27-2020
Delaware,4034,,120, ,3003,4249,126,19249,"20,273",04-27-2020
District Of Columbia,3892,51,185,7,3048,5686,270,18416,"26,904",04-27-2020
Minnesota,3602,,272, ,1556,652,49,58987,"10,672",04-27-2020
Kansas,3296,122,122,2,2671,1133,42,25199,"8,663",04-27-2020
Oklahoma,3253,,195, ,919,830,50,53012,"13,530",04-27-2020
Nebraska,3028,,56, ,2950,1590,29,22525,"11,826",04-27-2020
Arkansas,3001,,50, ,1964,1003,17,39551,"13,225",04-27-2020
New Mexico,2726,,99, ,1977,1303,47,56615,"27,057",04-27-2020
Oregon,2311,,91, ,2220,566,22,48964,"11,995",04-27-2020
South Dakota,2212,,11, ,1011,2559,13,15596,"18,045",04-27-2020
Idaho,1897,,56, ,974,1124,33,19361,"11,471",04-27-2020
New Hampshire,1864,,60, ,1254,1387,45,17727,"13,193",04-27-2020
Navajo Nation,1540,,58, ,1482,,,,,04-27-2020
Puerto Rico,1389,18,84, ,914,410,25,13022,"3,845",04-27-2020
Federal Prisons,1118,,27, ,582,,,,,04-27-2020
West Virginia,1063,19,36,2,802,581,20,39063,"21,357",04-27-2020
Maine,1015,,50, ,433,762,38,17721,"13,296",04-27-2020
North Dakota,867,,17, ,524,1153,23,20447,"27,183",04-27-2020
Vermont,855,4,47,1,808,1368,75,15073,"24,118",04-27-2020
Hawaii,606,,14, ,104,426,10,29247,"20,567",04-27-2020
Wyoming,502,,7, ,174,863,12,7623,"13,102",04-27-2020
Montana,448,,14, ,95,430,13,12862,"12,347",04-27-2020
Alaska,341,,9, ,115,462,12,16177,"21,905",04-27-2020
Guam,141,,5, ,10,,,605,,04-27-2020
Grand Princess Ship,103,,3, ,100,,,,,04-27-2020
United States Virgin Islands,57,,4, ,2,,,776,,04-27-2020
Northern Mariana Islands,14,,2, ,1,,,45,,04-27-2020
New York,298004,,22623, ,229824,15190,"1,153",826095,"42,108",04-28-2020
New Jersey,113856,2668,6442,398,106143,12819,725,227390,"25,602",04-28-2020
Massachusetts,56462,,3003, ,45341,8267,440,244887,"35,854",04-28-2020
Illinois,45883,,1983, ,43294,3579,155,227628,"17,754",04-28-2020
California,45218,212,1793,17,40088,1155,46,526084,"13,438",04-28-2020
Pennsylvania,43264,109,1860, ,40712,3382,145,209088,"16,346",04-28-2020
Michigan,38210,,3407, ,26461,3837,342,163213,"16,391",04-28-2020
Florida,32846,708,1171,83,30989,1595,57,368651,"17,897",04-28-2020
Louisiana,27286,218,1801,61,8182,5851,386,151108,"32,401",04-28-2020
Texas,26171,655,690,18,14311,939,25,300384,"10,772",04-28-2020
Connecticut,25997,,2012, ,23920,7259,562,90746,"25,337",04-28-2020
Georgia,24606,381,1025,31,23550,2390,100,140020,"13,597",04-28-2020
Maryland,20113,626,1016,71,17834,3350,169,107785,"17,954",04-28-2020
Indiana,16588,627,932, ,15642,2499,140,87181,"13,135",04-28-2020
Ohio,16325,,753, ,15452,1402,65,119391,"10,255",04-28-2020
Virginia,14339,804,492,34,12032,1704,58,82753,"9,835",04-28-2020
Colorado,13879,,706, ,12614,2509,128,66341,"11,994",04-28-2020
Washington,13686,,765, ,11114,1876,105,179679,"24,633",04-28-2020
Tennessee,9918,,184, ,5014,1491,28,154402,"23,215",04-28-2020
North Carolina,9568,153,342,6,7924,942,34,112752,"11,102",04-28-2020
Rhode Island,7926,218,239,6,7345,7501,226,57693,"54,602",04-28-2020
Missouri,7239,,300, ,6392,1189,49,70932,"11,647",04-28-2020
Veteran Affairs,7001,,435, ,6566,,,83372,,04-28-2020
Arizona,6716,,275, ,6371,967,40,66543,"9,579",04-28-2020
Alabama,6644,105,242,14,6382,1366,50,75138,"15,446",04-28-2020
US Military,6568,,27, ,4497,,,,,04-28-2020
Iowa,6376,508,136,9,4076,2035,43,39823,"12,713",04-28-2020
Mississippi,6342,248,239,10,6103,2122,80,64412,"21,551",04-28-2020
Wisconsin,6081,,281, ,3487,1052,49,67392,"11,663",04-28-2020
South Carolina,5613,,177, ,1735,1133,36,52145,"10,522",04-28-2020
Nevada,4805,115,219, ,1939,1644,75,47821,"16,361",04-28-2020
Delaware,4575,413,137,12,3342,4818,144,21180,"22,307",04-28-2020
Utah,4233,,41, ,3304,1390,13,100195,"32,901",04-28-2020
Minnesota,4181,365,301,15,1968,756,54,63829,"11,548",04-28-2020
Kentucky,4146,,213, ,2811,934,48,48799,"10,990",04-28-2020
District Of Columbia,3994,102,190,5,3144,5835,278,18885,"27,590",04-28-2020
Oklahoma,3410,130,207,10,943,870,53,53012,"13,530",04-28-2020
Nebraska,3358,,56, ,3280,1763,29,23772,"12,480",04-28-2020
Kansas,3296,,122, ,2671,1133,42,25199,"8,663",04-28-2020
Arkansas,3069,,51, ,1965,1026,17,40629,"13,585",04-28-2020
New Mexico,2823,,104, ,2069,1349,50,58803,"28,103",04-28-2020
Oregon,2354,,92, ,2262,577,23,51198,"12,543",04-28-2020
South Dakota,2245,,11, ,918,2598,13,15596,"18,045",04-28-2020
New Hampshire,1938,,60, ,1080,1442,45,20145,"14,993",04-28-2020
Idaho,1917,,58, ,820,1136,34,19895,"11,787",04-28-2020
Navajo Nation ,1716,,59, ,1657,,,9753,,04-28-2020
Puerto Rico,1400,11,86,2,923,413,25,13022,"3,845",04-28-2020
Federal Prisons,1376,,28, ,834,,,,,04-28-2020
West Virginia,1077,14,37,1,559,589,20,43227,"23,634",04-28-2020
Maine,1040,17,51, ,404,780,38,17807,"13,360",04-28-2020
North Dakota,991,49,19, ,563,1317,25,23723,"31,538",04-28-2020
Vermont,862,7,47, ,815,1379,75,15215,"24,345",04-28-2020
Hawaii,607,,16, ,98,427,11,29247,"20,567",04-28-2020
Wyoming,520,,7, ,170,894,12,8167,"14,037",04-28-2020
Montana,451,2,15,1,80,433,14,13191,"12,663",04-28-2020
Alaska,345,,9, ,118,467,12,16256,"22,012",04-28-2020
Guam,144,2,5, ,10,,,605,,04-28-2020
Grand Princess Ship,103,,3, ,100,,,,,04-28-2020
United States Virgin Islands,59,,4, ,4,,,835,,04-28-2020
Northern Mariana Islands,14,,2, ,0,,,45,,04-28-2020
New York,305086,3636,23474,330,234649,15551,"1,197",872481,"44,472",04-29-2020
New Jersey,116264,2408,6770,328,108223,13090,762,240246,"27,049",04-29-2020
Massachusetts,58302,,3153, ,47031,8536,462,254500,"37,261",04-29-2020
Illinois,48102,,2125, ,45371,3752,166,242189,"18,889",04-29-2020
California ,46506,343,1873,11,41296,1188,48,577608,"14,754",04-29-2020
Pennsylvania,45016,,2195,135,42056,3519,172,209088,"16,346",04-29-2020
Michigan,39262,,3567, ,27353,3943,358,169929,"17,065",04-29-2020
Florida,33193,347,1218,47,31289,1611,59,375300,"18,220",04-29-2020
Louisiana,27660,374,1845,44,8512,5931,396,156568,"33,572",04-29-2020
Texas,27054,883,732,42,14536,970,26,314790,"11,289",04-29-2020
Connecticut,26312,,2089, ,24158,7347,583,92745,"25,896",04-29-2020
Georgia,25274,420,1052,16,24191,2454,102,140223,"13,617",04-29-2020
Maryland,20849,736,1078,62,18508,3473,180,110929,"18,478",04-29-2020
Indiana,17182,594,1065,73,16103,2589,160,91550,"13,793",04-29-2020
Ohio,16769,,799, ,15850,1440,69,122706,"10,540",04-29-2020
Virginia,14961,622,522,30,12397,1778,62,85307,"10,139",04-29-2020
Colorado,14316,,736, ,13021,2588,133,67094,"12,130",04-29-2020
Washington,13842,,786, ,11205,1898,108,182515,"25,021",04-29-2020
North Carolina,10092,353,379,18,8411,994,37,118440,"11,663",04-29-2020
Tennessee,10052,,188, ,4943,1511,28,161928,"24,346",04-29-2020
Rhode Island,8247,321,251,12,7654,7805,238,60165,"56,941",04-29-2020
Veteran Affairs,7481,,461, ,7020,,,95680,,04-29-2020
 Missouri,7376,,327, ,6502,1211,54,73503,"12,069",04-29-2020
Arizona,7202,254,304,11,6828,1037,44,68813,"9,906",04-29-2020
Iowa,6843,467,148,12,4531,2185,47,41337,"13,196",04-29-2020
Alabama,6814,64,245,3,6549,1401,50,77916,"16,017",04-29-2020
US Military,6648,,27, ,4514,,,,,04-29-2020
Mississippi,6569,227,250,11,6319,2198,84,66094,"22,114",04-29-2020
Wisconsin,6289,,300, ,3676,1088,52,69824,"12,084",04-29-2020
South Carolina,5735,,192, ,1842,1157,39,53133,"10,721",04-29-2020
Nevada,4898,93,225, ,2026,1676,77,49475,"16,927",04-29-2020
Delaware,4655,80,144,7,3338,4903,152,21538,"22,684",04-29-2020
Minnesota,4644,463,319,18,2282,840,58,66744,"12,075",04-29-2020
Kentucky,4375,,225, ,3028,985,51,52411,"11,804",04-29-2020
Utah,4343,,45, ,3410,1426,15,102439,"33,638",04-29-2020
District Of Columbia,4106,112,205,15,3241,5999,299,19229,"28,092",04-29-2020
Kansas,3685,108,127, ,3055,1267,44,28090,"9,657",04-29-2020
Oklahoma,3410,,207, ,943,870,53,61619,"15,727",04-29-2020
Nebraska,3374,,55, ,3297,1771,29,23798,"12,494",04-29-2020