Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,X+Y,dataid
chevrolet chevelle malibu (1970),18,8,307,130,3504,12,1970,USA,0.951483486,1
buick skylark 320,15,8,350,165,3693,11.5,1970,USA,1.039279716,2
plymouth satellite,18,8,318,150,3436,11,1970,USA,1.038440007,3
amc rebel sst,16,8,304,150,3433,12,1970,USA,0.995521553,4
ford torino,17,8,302,140,3449,10.5,1970,USA,0.973502519,5
ford galaxie 500 (1970),15,8,429,198,4341,10,1970,USA,1.182757977,6
chevrolet impala (1970),14,8,454,220,4354,9,1970,USA,1.256950924,7
plymouth fury iii (1970),14,8,440,215,4312,8.5,1970,USA,1.235211793,8
pontiac catalina (1970),14,8,455,225,4425,10,1970,USA,1.278690054,9
amc ambassador dpl,15,8,390,190,3850,8.5,1970,USA,1.147975369,10
dodge challenger se,15,8,383,170,3563,10,1970,USA,1.061018847,11
plymouth 'cuda 340,14,8,340,160,3609,8,1970,USA,0.996081358,12
chevrolet monte carlo,15,8,400,150,3761,9.5,1970,USA,0.974062325,13
buick estate wagon (sw) (1970),14,8,455,225,3086,10,1970,USA,1.278690054,14
toyota corona mark ii,24,4,113,95,2372,15,1970,Japan,0.928064937,15
plymouth duster (1970),22,6,198,95,2833,15.5,1970,USA,0.885146483,16
amc hornet (1970),18,6,199,97,2774,15.5,1970,USA,0.808005225,17
ford maverick (1970),21,6,200,85,2587,16,1970,USA,0.820208994,18
datsun pl510 (1970),27,4,97,88,2130,14.5,1970,Japan,0.962007837,19
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,1970,Europe,0.757939914,20
peugeot 504 (1970),25,4,110,87,2672,17.5,1970,Europe,0.914741556,21
audi 100 ls,24,4,107,90,2430,14.5,1970,Europe,0.906325807,22
saab 99e,25,4,104,95,2375,17.5,1970,Europe,0.949524165,23
bmw 2002,26,4,121,113,2234,12.5,1970,Europe,1.049244262,24
amc gremlin (1970),21,6,199,90,2648,15,1970,USA,0.841948125,25
ford f250,10,8,360,215,4615,14,1970,USA,1.149374883,26
chevy c20,10,8,307,200,4376,15,1970,USA,1.084157492,27
dodge d200,11,8,318,210,4382,13.5,1970,USA,1.14909498,28
hi 1200d,9,8,304,193,4732,18.5,1970,USA,1.032263482,29
datsun pl510 (1971),27,4,97,88,2130,14.5,1971,Japan,0.962007837,30
chevrolet vega 2300,28,4,140,90,2264,15.5,1971,USA,0.992162717,31
toyota corona (1971),25,4,113,95,2228,14,1971,Japan,0.949524165,32
amc gremlin (1971),19,6,232,100,2634,13,1971,USA,0.842507931,33
plymouth satellite custom,16,6,225,105,3439,15.5,1971,USA,0.799869379,34
chevrolet chevelle malibu (1971),17,6,250,100,3329,15.5,1971,USA,0.799589476,35
ford torino 500,19,6,250,88,3302,15.5,1971,USA,0.790334018,36
amc matador (1971),18,6,232,100,3288,15.5,1971,USA,0.821048703,37
chevrolet impala (1971),14,8,350,165,4209,12,1971,USA,1.017820489,38
pontiac catalina brougham,14,8,400,175,4464,11.5,1971,USA,1.06129875,39
ford galaxie 500 (1971),14,8,351,153,4154,13.5,1971,USA,0.965646576,40
plymouth fury iii (1971),14,8,318,150,4096,13,1971,USA,0.952603098,41
dodge monaco (sw),12,8,383,180,4955,11.5,1971,USA,1.040119425,42
ford country squire (sw) (1971),13,8,400,170,4746,12,1971,USA,1.018100392,43
pontiac safari (sw),13,8,400,175,5140,12,1971,USA,1.039839522,44
amc hornet sportabout (sw),18,6,258,110,2962,13.5,1971,USA,0.864526964,45
chevrolet vega (sw),22,4,140,72,2408,19,1971,USA,0.785146483,46
pontiac firebird,19,6,250,100,3282,15,1971,USA,0.842507931,47
ford mustang,18,6,250,88,3139,14.5,1971,USA,0.76887479,48
mercury capri 2000,23,4,122,86,2220,14,1971,USA,0.867475275,49
opel 1900 (1971),28,4,116,90,2123,14,1971,Europe,0.992162717,50
peugeot 304,30,4,79,70,2074,19.5,1971,Europe,0.94812465,51
fiat 124b,30,4,88,76,2065,14.5,1971,Europe,0.974211607,52
toyota corolla 1200 (1971),31,4,71,65,1773,19,1971,Japan,0.947844747,53
datsun 1200,35,4,72,69,1613,18,1971,Japan,1.051072961,54
volkswagen model 111,27,4,97,60,1834,19,1971,Europe,0.840268707,55
plymouth cricket,26,4,91,70,1955,20.5,1971,USA,0.86228774,56
toyota corona hardtop,24,4,113,95,2278,15.5,1972,Japan,0.928064937,57
dodge colt hardtop,25,4,97.5,80,2126,17,1972,USA,0.884306774,58
volkswagen type 3,23,4,97,54,2254,23.5,1972,Europe,0.72834484,59
chevrolet vega (1972),20,4,140,90,2408,19.5,1972,USA,0.820488897,60
ford pinto runabout,21,4,122,86,2226,16.5,1972,USA,0.82455682,61
chevrolet impala (1972),13,8,350,165,4274,12,1972,USA,0.996361261,62
pontiac catalina (1972),14,8,400,175,4385,12,1972,USA,1.06129875,63
plymouth fury iii (1972),15,8,318,150,4135,13.5,1972,USA,0.974062325,64
ford galaxie 500 (1972),14,8,351,153,4129,13,1972,USA,0.965646576,65
amc ambassador sst,17,8,304,150,3672,11.5,1972,USA,1.01698078,66
mercury marquis,11,8,429,208,4633,11,1972,USA,1.140399328,67
buick lesabre custom,13,8,350,155,4502,13.5,1972,USA,0.952883001,68
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,1972,USA,0.953162904,69
chrysler newport royal,13,8,400,190,4422,12.5,1972,USA,1.105056914,70
mazda rx2 coupe,19,3,70,97,2330,13.5,1972,Japan,0.829464452,71
amc matador (sw) (1972),15,8,304,150,3892,12.5,1972,USA,0.974062325,72
chevrolet chevelle concours (sw) (1972),13,8,307,130,4098,14,1972,USA,0.844187348,73
ford gran torino (sw) (1972),13,8,302,140,4294,16,1972,USA,0.887665609,74
plymouth satellite custom (sw),14,8,318,150,4077,14,1972,USA,0.952603098,75
volvo 145e (sw),18,4,121,112,2933,14.5,1972,Europe,0.873222616,76
volkswagen 411 (sw),22,4,121,76,2511,18,1972,Europe,0.802537787,77
peugeot 504 (sw),21,4,120,87,2979,19.5,1972,Europe,0.828904646,78
renault 12 (sw),26,4,96,69,2189,18,1972,Europe,0.857939914,79
ford pinto (sw),22,4,122,86,2395,16,1972,USA,0.846016048,80
datsun 510 (sw),28,4,97,92,2288,17,1972,Japan,1.000858369,81
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,1972,Japan,0.915301362,82
dodge colt (sw),28,4,98,80,2164,15,1972,USA,0.948684456,83
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,1972,Japan,0.962007837,84
buick century 350,13,8,350,175,4100,13,1973,USA,1.039839522,85
amc matador (1973),14,8,304,150,3672,11.5,1973,USA,0.952603098,86
chevrolet malibu (1973),13,8,350,145,3988,13,1973,USA,0.90940474,87
ford gran torino (1973),14,8,302,137,4042,14.5,1973,USA,0.896081358,88
dodge coronet custom,15,8,318,150,3777,12.5,1973,USA,0.974062325,89
mercury marquis brougham,12,8,429,198,4952,11.5,1973,USA,1.118380295,90
chevrolet caprice classic (1973),13,8,400,150,4464,12,1973,USA,0.93114387,91
ford ltd (1973),13,8,351,158,4363,13,1973,USA,0.965926479,92
plymouth fury gran sedan,14,8,318,150,4237,14.5,1973,USA,0.952603098,93
chrysler new yorker brougham,13,8,440,215,4735,11,1973,USA,1.213752566,94
buick electra 225 custom,12,8,455,225,4951,11,1973,USA,1.235771599,95
amc ambassador brougham,13,8,360,175,3821,11,1973,USA,1.039839522,96
plymouth valiant (1973),18,6,225,105,3121,16.5,1973,USA,0.842787834,97
chevrolet nova custom,16,6,250,100,3278,18,1973,USA,0.778130248,98
amc hornet (1973),18,6,232,100,2945,16,1973,USA,0.821048703,99
ford maverick (1973),18,6,250,88,3021,16.5,1973,USA,0.76887479,100
plymouth duster (1973),23,6,198,95,2904,16,1973,USA,0.90660571,101
volkswagen super beetle,26,4,97,46,1950,21,1973,Europe,0.757939914,102
chevrolet impala (1973),11,8,400,150,4997,14,1973,USA,0.888225415,103
ford country,12,8,400,167,4906,12.5,1973,USA,0.983597686,104
plymouth custom suburb,13,8,360,170,4654,13,1973,USA,1.018100392,105
oldsmobile vista cruiser,12,8,350,180,4499,12.5,1973,USA,1.040119425,106
amc gremlin (1973),18,6,232,100,2789,15,1973,USA,0.821048703,107
toyota carina,20,4,97,88,2279,19,1973,Japan,0.811793245,108
chevrolet vega (1973),21,4,140,72,2401,19.5,1973,USA,0.763687255,109
datsun 610,22,4,108,94,2379,16.5,1973,Japan,0.880798656,110
maxda rx3,18,3,70,90,2124,13.5,1973,Japan,0.777570442,111
ford pinto (1973),19,4,122,85,2310,18.5,1973,USA,0.777290539,112
mercury capri v6,21,6,155,107,2472,14,1973,USA,0.915861168,113
fiat 124 sport coupe,26,4,98,90,2265,15.5,1973,Europe,0.949244262,114
chevrolet monte carlo s,15,8,350,145,4082,13,1973,USA,0.952323195,115
pontiac grand prix,16,8,400,230,4278,9.5,1973,USA,1.343347639,116
fiat 128 (1973),29,4,68,49,1867,19.5,1973,Europe,0.835361075,117
opel manta (1973),24,4,116,75,2158,15.5,1973,Europe,0.841108416,118
audi 100ls (1973),20,4,114,91,2582,14,1973,Europe,0.824836723,119
volvo 144ea,19,4,121,112,2868,15.5,1973,Europe,0.894681844,120
dodge dart custom,15,8,318,150,3399,11,1973,USA,0.974062325,121
saab 99le (1973),24,4,121,110,2660,14,1973,Europe,0.993282329,122
toyota mark ii (1973),20,6,156,122,2807,13.5,1973,Japan,0.959619332,123
oldsmobile omega,11,8,350,180,3664,11,1973,USA,1.018660198,124
plymouth duster (1974),20,6,198,95,3102,16.5,1974,USA,0.842228028,125
amc hornet (1974),19,6,232,100,2901,16,1974,USA,0.842507931,126
chevrolet nova (1974),15,6,250,100,3336,17,1974,USA,0.756671021,127
datsun b210,31,4,79,67,1950,19,1974,Japan,0.956540399,128
ford pinto (1974),26,4,122,80,2451,16.5,1974,USA,0.905766001,129
toyota corolla 1200 (1974),32,4,71,65,1836,21,1974,Japan,0.969303975,130
chevrolet vega (1974),25,4,140,75,2542,17,1974,USA,0.862567643,131
chevrolet chevelle malibu classic (1974),16,6,250,100,3781,17,1974,USA,0.778130248,132
amc matador (1974),16,6,258,110,3632,18,1974,USA,0.821608509,133
plymouth satellite sebring,18,6,225,105,3613,16.5,1974,USA,0.842787834,134
ford gran torino (1974),16,8,302,140,4141,14,1974,USA,0.952043292,135
buick century luxus (sw),13,8,350,150,4699,14.5,1974,USA,0.93114387,136
dodge coronet custom (sw),14,8,318,150,4457,13.5,1974,USA,0.952603098,137
ford gran torino (sw) (1974),14,8,302,140,4638,16,1974,USA,0.909124837,138
amc matador (sw) (1974),14,8,304,150,4257,15.5,1974,USA,0.952603098,139
audi fox,29,4,98,83,2219,16.5,1974,Europe,0.983187162,140
volkswagen dasher (1974),26,4,79,67,1963,15.5,1974,Europe,0.849244262,141
opel manta (1974),26,4,97,78,2300,14.5,1974,Europe,0.897070349,142
toyota corona (1974),31,4,76,52,1649,16.5,1974,Japan,0.891323008,143
datsun 710 (1974),32,4,83,61,2003,19,1974,Japan,0.95191267,144
dodge colt (1974),28,4,90,75,2125,14.5,1974,USA,0.926945326,145
fiat 128 (1974),24,4,90,75,2108,15.5,1974,Europe,0.841108416,146
fiat 124 tc,26,4,116,75,2246,14,1974,Europe,0.884026871,147
honda civic (1974),24,4,120,97,2489,15,1974,Japan,0.93676059,148
subaru (1974),26,4,108,93,2391,15.5,1974,Japan,0.96228774,149
fiat x1.9,31,4,79,67,2000,16,1974,Europe,0.956540399,150
plymouth valiant custom,19,6,225,95,3264,16,1975,USA,0.8207688,151
chevrolet nova (1975),18,6,250,105,3459,16,1975,USA,0.842787834,152
mercury monarch,15,6,250,72,3432,21,1975,USA,0.63493189,153
ford maverick (1975),15,6,250,72,3158,19.5,1975,USA,0.63493189,154
pontiac catalina (1975),16,8,400,170,4668,11.5,1975,USA,1.082478074,155
chevrolet bel air,15,8,350,145,4440,14,1975,USA,0.952323195,156
plymouth grand fury,16,8,318,150,4498,14.5,1975,USA,0.995521553,157
ford ltd (1975),14,8,351,148,4657,13.5,1975,USA,0.943907445,158
buick century (1975),17,6,231,110,3907,21,1975,USA,0.843067737,159
chevroelt chevelle malibu,16,6,250,105,3897,18.5,1975,USA,0.799869379,160
amc matador (1975),15,6,258,110,3730,19,1975,USA,0.800149282,161
plymouth fury,18,6,225,95,3785,19,1975,USA,0.799309573,162
buick skyhawk,21,6,231,110,3039,15,1975,USA,0.928904646,163
chevrolet monza 2+2,20,8,262,110,3221,13.5,1975,USA,0.907445419,164
ford mustang ii,13,8,302,129,3169,12,1975,USA,0.839839522,165
toyota corolla (1975),29,4,97,75,2171,16,1975,Japan,0.948404553,166
amc gremlin (1975),20,6,232,100,2914,16,1975,USA,0.863967158,167
pontiac astro,23,4,140,78,2592,18.5,1975,USA,0.832692667,168
toyota corona (1975),24,4,134,96,2702,13.5,1975,Japan,0.932412764,169
volkswagen dasher (1975),25,4,90,71,2223,16.5,1975,Europe,0.845176339,170
datsun 710 (1975),24,4,119,97,2545,17,1975,Japan,0.93676059,171
ford pinto (1975),18,6,171,97,2984,14.5,1975,USA,0.808005225,172
volkswagen rabbit (1975),29,4,90,70,1937,14,1975,Europe,0.926665423,173
amc pacer,19,6,232,90,3211,17,1975,USA,0.79902967,174
audi 100ls (1975),23,4,115,95,2694,15,1975,Europe,0.90660571,175
peugeot 504 (1975),23,4,120,88,2957,17,1975,Europe,0.876170927,176
volvo 244dl,22,4,121,98,2945,14.5,1975,Europe,0.898189961,177
saab 99le (1975),25,4,121,115,2671,13.5,1975,Europe,1.036480687,178
honda civic cvcc (1975),33,4,91,53,1795,17.5,1975,Japan,0.938589289,179
fiat 131,28,4,107,86,2464,15.5,1976,Europe,0.974771413,180
opel 1900 (1976),25,4,116,81,2220,16.9,1976,Europe,0.8886546,181
capri ii,25,4,140,92,2572,14.9,1976,USA,0.936480687,182
dodge colt (1976),26,4,98,79,2255,17.7,1976,USA,0.901418175,183
renault 12tl,27,4,101,83,2202,15.3,1976,Europe,0.940268707,184
chevrolet chevelle malibu classic (1976),17.5,8,305,140,4215,13,1976,USA,0.984232133,185
dodge coronet brougham,16,8,318,150,4190,13,1976,USA,0.995521553,186
amc matador (1976),15.5,8,304,120,3962,13.9,1976,USA,0.854357156,187
ford gran torino (1976),14.5,8,351,152,4215,12.8,1976,USA,0.972028364,188
plymouth valiant (1976),22,6,225,100,3233,15.4,1976,USA,0.906885613,189
chevrolet nova (1976),22,6,250,105,3353,14.5,1976,USA,0.928624743,190
ford maverick (1976),24,6,200,81,3012,17.6,1976,USA,0.867195372,191
amc hornet (1976),22.5,6,232,90,3085,17.6,1976,USA,0.874136966,192
chevrolet chevette (1976),29,4,85,52,2035,22.2,1976,USA,0.848404553,193
chevrolet woody,24.5,4,98,60,2164,22.1,1976,USA,0.786620638,194
vw rabbit (1976),29,4,90,70,1937,14.2,1976,Europe,0.926665423,195
honda civic (1976),33,4,91,53,1795,17.4,1976,Japan,0.938589289,196
