Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,X+Y,dataid
dodge aspen se,20,6,225,100,3651,17.7,1976,USA,0.863967158,197
ford granada ghia,18,6,250,78,3574,21,1976,USA,0.725396529,198
pontiac ventura sj,18.5,6,250,110,3645,16.2,1976,USA,0.875256578,199
amc pacer d/l,17.5,6,258,95,3193,17.8,1976,USA,0.788579959,200
volkswagen rabbit (1976),29.5,4,97,71,1825,12.2,1976,Europe,0.941742862,201
datsun b-210,32,4,85,70,1990,17,1976,Japan,0.991043105,202
toyota corolla (1976),28,4,97,75,2155,16.4,1976,Japan,0.926945326,203
ford pinto (1976),26.5,4,140,72,2565,13.6,1976,USA,0.881713006,204
volvo 245,20,4,130,102,3150,15.7,1976,Europe,0.87266281,205
plymouth volare premier v8,13,8,318,150,3940,13.2,1976,USA,0.93114387,206
peugeot 504 (1976),19,4,120,88,3270,21.9,1976,Europe,0.790334018,207
toyota mark ii (1976),19,6,156,108,2930,15.5,1976,Japan,0.877290539,208
mercedes-benz 280s,16.5,6,168,120,3820,16.7,1976,Europe,0.875816384,209
cadillac seville,16.5,8,350,180,4380,12.1,1976,USA,1.136685949,210
chevy c10,13,8,350,145,4055,12,1976,USA,0.90940474,211
ford f108,13,8,302,130,3870,15,1976,USA,0.844187348,212
dodge d100,13,8,318,150,3755,14,1976,USA,0.93114387,213
honda Accelerationord cvcc,31.5,4,98,68,2045,18.5,1977,Japan,0.971617839,214
buick opel isuzu deluxe,30,4,111,80,2155,14.8,1977,USA,0.991602911,215
renault 5 gtl,36,4,79,58,1825,18.6,1977,Europe,1.024706102,216
plymouth arrow gs,25.5,4,122,96,2300,15.5,1977,USA,0.964601605,217
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,1977,Japan,1.023231946,218
chevrolet caprice classic (1977),17.5,8,305,145,3880,12.5,1977,USA,1.005971263,219
oldsmobile cutlass supreme,17,8,260,110,4060,19,1977,USA,0.843067737,220
dodge monaco brougham,15.5,8,318,145,4140,13.7,1977,USA,0.963052808,221
mercury cougar brougham,15,8,302,130,4295,14.9,1977,USA,0.887105803,222
chevrolet concours,17.5,6,250,110,3520,16.4,1977,USA,0.85379735,223
buick skylark (1977),20.5,6,231,105,3425,16.9,1977,USA,0.896435902,224
plymouth volare custom,19,6,225,100,3630,17.7,1977,USA,0.842507931,225
ford granada,18.5,6,250,98,3525,19,1977,USA,0.823082665,226
pontiac grand prix lj,16,8,400,180,4220,11.1,1977,USA,1.125956335,227
chevrolet monte carlo landau (1977),15.5,8,350,170,4165,11.4,1977,USA,1.071748461,228
chrysler cordoba,15.5,8,400,190,4325,12.2,1977,USA,1.158704982,229
ford thunderbird,16,8,351,149,4335,14.5,1977,USA,0.991173726,230
volkswagen rabbit custom,29,4,97,78,1940,14.5,1977,Europe,0.961448031,231
pontiac sunbird coupe,24.5,4,151,88,2740,16,1977,USA,0.908359769,232
toyota corolla liftback,26,4,97,75,2265,18.2,1977,Japan,0.884026871,233
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,1977,USA,0.934166822,234
chevrolet chevette (1977),30.5,4,98,63,2051,17,1977,USA,0.928419481,235
dodge colt m/m,33.5,4,98,83,2075,15.9,1977,USA,1.079753685,236
subaru dl (1977),30,4,97,67,1985,16.4,1977,Japan,0.935081172,237
volkswagen dasher (1977),30.5,4,97,78,2190,14.1,1977,Europe,0.993636873,238
datsun 810,22,6,146,97,2815,14.5,1977,Japan,0.893842135,239
bmw 320i,21.5,4,121,110,2600,12.8,1977,Europe,0.93963426,240
mazda rx-4,21.5,3,80,110,2720,13.5,1977,Japan,0.93963426,241
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,1978,Europe,1.133588356,242
ford fiesta,36.1,4,98,66,1800,14.4,1978,USA,1.061634633,243
mazda glc deluxe,32.8,4,78,52,1985,19.4,1978,Japan,0.929949617,244
datsun b210 gx,39.4,4,85,70,2070,18.6,1978,Japan,1.149841388,245
honda civic cvcc (1978),36.1,4,91,60,1800,16.4,1978,Japan,1.035547677,246
oldsmobile cutlass salon brougham (1978),19.9,8,260,110,3365,15.5,1978,USA,0.905299496,247
dodge diplomat,19.4,8,318,140,3735,13.2,1978,USA,1.025004665,248
mercury monarch ghia,20.2,8,302,139,3570,12.8,1978,USA,1.037824221,249
pontiac phoenix lj,19.2,6,231,105,3535,19.2,1978,USA,0.868538907,250
chevrolet malibu (1978),20.5,6,200,95,3155,18.2,1978,USA,0.852957641,251
ford fairmont (auto),20.2,6,200,85,2965,15.8,1978,USA,0.803041612,252
ford fairmont (man),25.1,4,140,88,2720,15.4,1978,USA,0.921235305,253
plymouth volare,20.5,6,225,100,3430,17.2,1978,USA,0.874696772,254
amc concord (1978),19.4,6,232,90,3210,17.2,1978,USA,0.807613361,255
buick century special,20.6,6,231,105,3380,15.8,1978,USA,0.898581825,256
mercury zephyr,20.8,6,200,85,3070,16.7,1978,USA,0.815917149,257
dodge aspen (1978),18.6,6,225,110,3620,18.7,1978,USA,0.8774025,258
amc concord d/l,18.1,6,258,120,3410,15.1,1978,USA,0.910151148,259
chevrolet monte carlo landau (1978),19.2,8,305,145,3425,13.2,1978,USA,1.04245195,260
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,1978,USA,1.097219631,261
ford futura,18.1,8,302,139,3205,11.2,1978,USA,0.992759843,262
dodge magnum xe,17.5,8,318,140,4080,13.7,1978,USA,0.984232133,263
chevrolet chevette (1978),30,4,98,68,2155,16.5,1978,USA,0.939428998,264
toyota corona (1978),27.5,4,134,95,2560,14.2,1978,Japan,1.003172234,265
datsun 510,27.2,4,119,97,2300,14.7,1978,Japan,1.005430118,266
dodge omni,30.9,4,105,75,2230,14.5,1978,USA,0.989177085,267
toyota celica gt liftback,21.1,4,134,95,2515,14.8,1978,Japan,0.865833178,268
plymouth sapporo,23.2,4,156,105,2745,16.7,1978,USA,0.954375816,269
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,1978,USA,0.880294831,270
datsun 200-sx,23.9,4,119,97,2405,14.9,1978,Japan,0.934614667,271
audi 5000,20.3,5,131,103,2830,15.9,1978,Europe,0.883448405,272
volvo 264gl,17,6,163,125,3140,13.6,1978,Europe,0.908285128,273
saab 99gle,21.6,4,121,115,2795,15.7,1978,Europe,0.963519313,274
peugeot 604sl,16.2,6,163,133,3410,15.8,1978,Europe,0.925900355,275
volkswagen scirocco,31.5,4,89,71,1990,14.9,1978,Europe,0.984661317,276
honda Accelerationord lx,29.5,4,98,68,2135,16.6,1978,Japan,0.928699384,277
pontiac lemans v6,21.5,6,231,115,3245,15.4,1979,USA,0.961373391,278
mercury zephyr 6,19.8,6,200,85,2990,18.2,1979,USA,0.794457921,279
ford fairmont 4,22.3,4,140,88,2890,17.3,1979,USA,0.861149468,280
amc concord dl 6,20.2,6,232,90,3265,18.2,1979,USA,0.824780743,281
dodge aspen 6,20.6,6,225,110,3360,16.6,1979,USA,0.920320955,282
chevrolet caprice classic (1979),17,8,305,130,3840,15.4,1979,USA,0.930024258,283
ford ltd landau,17.6,8,302,129,3725,13.4,1979,USA,0.938551969,284
mercury grand marquis,16.5,8,351,138,3955,13.2,1979,USA,0.954077253,285
dodge st. regis,18.2,8,318,135,3830,15.2,1979,USA,0.977514462,286
buick estate wagon (sw) (1979),16.9,8,350,155,4360,14.9,1979,USA,1.036573988,287
ford country squire (sw) (1979),15.5,8,351,142,4054,14.3,1979,USA,0.95000933,288
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,1979,USA,0.955495428,289
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,1979,USA,1.049169621,290
vw rabbit custom,31.9,4,89,71,1925,14,1979,Europe,0.993245008,291
maxda glc deluxe,34.1,4,86,65,1975,15.2,1979,Japan,1.014368352,292
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,1979,USA,1.113920508,293
amc spirit dl,27.4,4,121,80,2670,15,1979,USA,0.93580892,294
mercedes benz 300d,25.4,5,183,77,3530,20.1,1979,Europe,0.879846986,295
cadillac eldorado,23,8,350,125,3900,17.4,1979,USA,1.037040493,296
peugeot 504 (1979),27.2,4,141,71,3190,24.8,1979,Europe,0.892386639,297
oldsmobile cutlass salon brougham (1979),23.9,8,260,90,3420,22.2,1979,USA,0.904179884,298
plymouth horizon,34.2,4,105,70,2200,13.2,1979,USA,1.038253405,299
plymouth horizon tc3,34.5,4,105,70,2150,14.9,1979,USA,1.044691174,300
datsun 210 (1979),31.8,4,85,65,2020,19.2,1979,Japan,0.965012129,301
fiat strada custom,37.3,4,91,69,2130,14.7,1979,Europe,1.100429185,302
buick skylark limited,28.4,4,151,90,2670,16,1979,USA,1.000746408,303
chevrolet citation (1979),28.8,6,173,115,2595,11.3,1979,USA,1.118025751,304
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,1979,USA,1.075107296,305
pontiac phoenix (1979),33.5,4,151,90,2556,13.2,1979,USA,1.110188468,306
vw rabbit (1980),41.5,4,98,76,2144,14.7,1980,Europe,1.220992723,307
toyota corolla tercel,38.1,4,89,60,1968,18.8,1980,Japan,1.078466132,308
chevrolet chevette (1980),32.1,4,98,70,2120,15.5,1980,USA,0.993189028,309
datsun 310,37.2,4,86,65,2019,16.4,1980,Japan,1.080891957,310
chevrolet citation (1980),28,4,151,90,2678,16.5,1980,USA,0.992162717,311
ford fairmont,26.4,4,140,88,2870,18.1,1980,USA,0.949132301,312
amc concord (1980),24.3,4,151,90,3003,20.1,1980,USA,0.912763575,313
dodge aspen (1980),19.1,6,225,90,3381,18.7,1980,USA,0.801175592,314
audi 4000,34.3,4,97,78,2188,15.8,1980,Europe,1.075181937,315
toyota corona liftback,29.8,4,134,90,2711,15.5,1980,Japan,1.030789326,316
mazda 626 (1980),31.3,4,120,75,2542,17.5,1980,Japan,0.997760776,317
datsun 510 hatchback,37,4,119,92,2434,15,1980,Japan,1.193991416,318
toyota corolla (1980),32.2,4,108,75,2265,15.2,1980,Japan,1.017074081,319
mazda glc,46.6,4,86,65,2110,17.9,1980,Japan,1.282608696,320
dodge colt (1980),27.9,4,156,105,2800,14.4,1980,USA,1.055234185,321
datsun 210 (1980),40.8,4,85,65,2110,19.2,1980,Japan,1.158145176,322
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,1980,Europe,1.159339429,323
vw dasher (diesel),43.4,4,90,48,2335,23.7,1980,Europe,1.140026124,324
audi 5000s (diesel),36.4,5,121,67,2950,19.9,1980,Europe,1.072420228,325
mercedes-benz 240d,30,4,146,67,3250,21.8,1980,Europe,0.935081172,326
honda civic 1500 gl,44.6,4,91,67,1850,13.8,1980,Japan,1.248385893,327
subaru dl (1980),33.8,4,97,67,2145,18,1980,Japan,1.016626236,328
vokswagen rabbit,29.8,4,89,62,1845,15.3,1980,Europe,0.909050196,329
datsun 280-zx,32.7,6,168,132,2910,11.4,1980,Japan,1.275629782,330
mazda rx-7 gs,23.7,3,70,100,2420,12.5,1980,Japan,0.9433663,331
triumph tr7 coupe,35,4,122,88,2500,15.1,1980,Europe,1.133681657,332
honda Accelerationord (1980),32.4,4,107,72,2290,17,1980,Japan,1.008322448,333
buick skylark (1982),26.6,4,151,84,2635,16.4,1982,USA,0.936032842,334
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,1982,USA,0.953648069,335
chevrolet citation (1982),23.5,6,173,110,2725,12.6,1982,USA,0.982552715,336
plymouth reliant (1982),30,4,135,84,2385,12.9,1982,USA,1.008994215,337
toyota starlet,39.1,4,79,58,1755,16.9,1982,Japan,1.091229707,338
plymouth champ,39,4,86,64,1875,16.4,1982,USA,1.115170741,339
honda civic 1300,35.1,4,81,60,1760,16.1,1982,Japan,1.014088449,340
subaru (1982),32.3,4,97,67,2065,17.8,1982,Japan,0.984437395,341
datsun 210 (1982),37,4,85,65,1975,19.4,1982,Japan,1.076600112,342
toyota tercel,37.7,4,89,62,2050,17.3,1982,Japan,1.078578093,343
mazda glc 4,34.1,4,91,68,1985,16,1982,Japan,1.027411831,344
plymouth horizon 4,34.7,4,105,63,2215,14.9,1982,USA,1.018548237,345
ford escort 4w,34.4,4,98,65,2045,16.2,1982,USA,1.020806121,346
ford escort 2h,29.9,4,98,65,2380,20.7,1982,USA,0.924239597,347
volkswagen jetta,33,4,105,74,2190,14.2,1982,Europe,1.029893637,348
honda prelude,33.7,4,107,75,2210,14.4,1982,Japan,1.049262922,349
datsun 200sx,32.9,4,119,100,2615,14.8,1982,Japan,1.140791192,350
mazda 626 (1982),31.6,4,120,74,2635,18.3,1982,Japan,0.999850718,351
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,1982,Europe,0.950830379,352
volvo diesel,30.7,6,145,76,3160,19.6,1982,Europe,0.989233066,353
toyota cressida,25.4,6,168,116,2900,12.6,1982,Japan,1.049412204,354
datsun 810 maxima,24.2,6,146,120,2930,13.8,1982,Japan,1.041052435,355
buick century (1982),22.4,6,231,110,3415,15.8,1982,USA,0.958947565,356
oldsmobile cutlass ls,26.6,8,350,105,3725,19,1982,USA,1.02733719,357
ford granada gl,20.2,6,200,88,3060,17.1,1982,USA,0.816085091,358
chrysler lebaron salon,17.6,6,225,85,3465,16.6,1982,USA,0.747247621,359
chevrolet cavalier,28,4,112,88,2605,19.6,1982,USA,0.983467065,360
chevrolet cavalier wagon,27,4,112,88,2640,18.6,1982,USA,0.962007837,361
chevrolet cavalier 2-door,34,4,112,88,2395,18,1982,USA,1.11222243,362
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,1982,USA,1.034801269,363
dodge aries se,29,4,135,84,2525,16,1982,USA,0.987534988,364
pontiac phoenix (1982),27,4,151,90,2735,18,1982,USA,0.970703489,365
ford fairmont futura,24,4,140,92,2865,16.4,1982,USA,0.915021459,366
volkswagen rabbit l,36,4,105,74,1980,15.3,1982,Europe,1.094271319,367
mazda glc custom l,37,4,91,68,2025,18.2,1982,Japan,1.08964359,368
mazda glc custom,31,4,91,68,1970,17.6,1982,Japan,0.960888225,369
plymouth horizon miser,38,4,105,63,2125,14.7,1982,USA,1.089363687,370
mercury lynx l,36,4,98,70,2125,17.3,1982,USA,1.076880015,371
nissan stanza xe,36,4,120,88,2160,14.5,1982,Japan,1.155140884,372
honda Accelerationord (1982),36,4,107,75,2205,14.5,1982,Japan,1.098619145,373
toyota corolla (1982),34,4,108,70,2245,16.9,1982,Japan,1.03396156,374
honda civic (1982),38,4,91,67,1965,15,1982,Japan,1.106754992,375
honda civic (auto),32,4,91,67,1965,15.7,1982,Japan,0.977999627,376
datsun 310 gx,38,4,91,67,1995,16.2,1982,Japan,1.106754992,377
buick century limited,25,6,181,110,2945,16.4,1982,USA,1.014741556,378
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,1982,USA,1.185015861,379
chrysler lebaron medallion,26,4,156,92,2585,14.5,1982,USA,0.957939914,380
ford granada l,22,6,232,112,2835,14.7,1982,USA,0.959059526,381
toyota celica gt,32,4,144,96,2665,13.9,1982,Japan,1.104086583,382
dodge charger 2.2,36,4,135,84,2370,13,1982,USA,1.13774958,383
chevrolet camaro,27,4,151,90,2950,17.3,1982,USA,0.970703489,384
ford mustang gl,27,4,140,86,2790,15.6,1982,USA,0.953312185,385
vw pickup,44,4,97,52,2130,24.6,1982,Europe,1.170292965,386
dodge rampage,32,4,135,84,2295,11.6,1982,USA,1.05191267,387
ford ranger,28,4,120,79,2625,18.6,1982,USA,0.94433663,388
chevy s-10,31,4,119,82,2720,19.4,1982,USA,1.021757791,389